FECHA,CONCURSO,N1,N2,N3,N4,N5,N6,BOLSA
22/03/2023,3720,15,23,26,32,45,46,18200000
19/03/2023,3719,5,6,11,24,40,43,17000000
17/03/2023,3718,5,9,14,24,31,43,15400000
15/03/2023,3717,3,19,32,50,52,54,13600000
12/03/2023,3716,4,19,21,23,32,55,12500000
10/03/2023,3715,1,4,10,13,28,37,10900000
08/03/2023,3714,7,10,16,37,44,48,10500000
05/03/2023,3713,31,39,40,47,50,53,10400000
03/03/2023,3712,12,14,15,28,38,45,10300000
01/03/2023,3711,6,16,17,35,43,46,10200000
26/02/2023,3710,7,26,33,42,50,55,10100000
24/02/2023,3709,1,8,23,29,30,44,10000000
22/02/2023,3708,3,6,33,42,45,52,10100000
19/02/2023,3707,11,14,15,27,33,49,10000000
17/02/2023,3706,14,32,37,39,50,51,32100000
15/02/2023,3705,5,7,9,40,42,45,30200000
12/02/2023,3704,10,14,39,41,44,49,29000000
10/02/2023,3703,5,22,24,36,42,50,27100000
08/02/2023,3702,7,9,23,32,54,55,25500000
05/02/2023,3701,27,29,32,34,46,53,24000000
03/02/2023,3700,13,23,25,32,42,54,22100000
01/02/2023,3699,13,16,36,38,42,55,20100000
29/01/2023,3698,1,11,13,46,50,55,18900000
27/01/2023,3697,13,14,20,25,48,50,17100000
25/01/2023,3696,2,9,20,29,48,50,15300000
22/01/2023,3695,3,11,38,44,45,53,14100000
